Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/4/6,2427792,2472089,1451190,12273572,335631,3292982,2195313,50532,1011360,3411817,5847929,2047210,504778,171368,351627,320500,15261473,2234334,7496254,616732,6015859,12285600,2124000,36943,290228,4920850,2999,30250,1473628,65466
2000/4/7,1592464,2514756,721537,15146247,180409,3147864,1659890,47145,2126004,3009837,3441160,1909264,333076,229548,838125,132900,16489167,2055449,3157908,474740,4653356,10169900,1834000,54841,73326,3322550,7488,22769,2355390,15693
2000/4/10,1630576,2304021,484115,7684454,128773,2418582,1664332,28176,1429945,4298030,3868199,1591912,234755,118627,793861,81300,16968095,1897203,2405679,323962,4418857,5180800,1752500,26445,104410,4232030,32608,27240,1037745,11343
2000/4/11,2087856,2694876,518191,9549951,142334,3144280,1232853,61125,751425,3270487,7451373,1459281,467538,114802,363269,155200,22621387,1752651,2301551,265348,5847085,8870500,1468000,46615,51808,4061420,36974,30884,1621092,71685
2000/4/12,7497408,5093260,473022,6723110,98206,2976542,1369074,17928,1135671,3124342,4626167,2000898,655556,222479,405163,224800,19020224,1815154,1634752,353160,5859322,8190500,1770500,21963,72266,6020410,9490,41527,2844333,38910
2000/4/13,5050400,3059289,405235,14043576,186398,2870928,2729250,99339,1139455,9675490,8373750,1796666,525506,162087,186190,170490,15283090,1938723,1779634,305876,5631336,18732700,1600500,24946,160246,9296980,9306,38537,1779575,50478
2000/4/14,4916512,3227467,679683,13939675,180041,2972732,1333777,75822,1440965,5588954,7773054,1696105,957381,201040,92237,347400,25872210,1986717,2825162,165438,7201462,15216400,2684500,33386,190403,6332480,36462,33992,2494836,105045
2000/4/17,1386664,2383467,767772,4852293,258968,4182086,1943325,37830,1564141,4793659,8787406,1192272,667001,130943,164050,206178,17865765,2714312,4660441,490646,7241851,17745000,3085500,28861,63918,8026040,19302,47277,4144228,119112
2000/4/18,2159872,3368996,424910,4578933,305636,3483522,1810914,45090,1429609,2957510,4502519,1330351,836759,103916,322229,151000,11238167,2283985,1829386,564292,8508578,8419600,2246500,20191,134620,4437290,5743,9540,5010217,165753
2000/4/19,3302992,3056533,362412,4580097,147192,3176436,1995673,87936,1429358,3281475,5539283,1676071,1176166,111643,131772,86100,15628431,4856440,1972635,416372,6661281,13625300,3222500,16346,113818,4107840,43545,41008,4896305,58830
